Date,Open,High,Low,Close,Adj Close,Volume
2017-11-03,5.180000,5.250000,5.080000,5.170000,5.170000,26500
2017-11-06,5.200000,5.290000,5.140000,5.220000,5.220000,37700
2017-11-07,4.500000,4.590000,4.250000,4.450000,4.450000,306200
2017-11-08,4.580000,4.580000,4.370000,4.520000,4.520000,31600
2017-11-09,4.500000,4.500000,4.350000,4.490000,4.490000,21800
2017-11-10,4.580000,4.790000,4.470000,4.790000,4.790000,92800
2017-11-13,4.700000,4.780000,4.600000,4.730000,4.730000,41100
2017-11-14,4.790000,4.910000,4.750000,4.860000,4.860000,104500
2017-11-15,4.850000,5.160000,4.810000,5.000000,5.000000,54300
2017-11-16,4.990000,5.210000,4.960000,5.210000,5.210000,55000
2017-11-17,5.120000,5.180000,4.990000,5.050000,5.050000,42000
2017-11-20,5.030000,5.380000,5.000000,5.240000,5.240000,41900
2017-11-21,5.200000,5.380000,5.100000,5.280000,5.280000,53900
2017-11-22,5.220000,5.380000,5.220000,5.380000,5.380000,35500
2017-11-24,5.320000,5.390000,5.210000,5.390000,5.390000,32200
2017-11-27,5.470000,5.500000,5.180000,5.290000,5.290000,26000
2017-11-28,5.250000,5.300000,5.010000,5.080000,5.080000,24800
2017-11-29,5.020000,5.200000,5.000000,5.060000,5.060000,21900
2017-11-30,5.100000,5.100000,4.920000,5.000000,5.000000,17000
2017-12-01,4.960000,4.980000,4.760000,4.980000,4.980000,31400
2017-12-04,4.980000,4.980000,4.760000,4.840000,4.840000,28800
2017-12-05,4.860000,5.040000,4.780000,5.040000,5.040000,23400
2017-12-06,5.000000,5.440000,4.830000,5.210000,5.210000,24900
2017-12-07,5.210000,5.980000,5.190000,5.360000,5.360000,139200
2017-12-08,5.420000,5.420000,4.860000,4.930000,4.930000,58800
2017-12-11,5.030000,5.120000,4.870000,5.020000,5.020000,32000
2017-12-12,4.910000,5.150000,4.830000,4.860000,4.860000,29500
2017-12-13,4.870000,5.100000,4.800000,5.000000,5.000000,14900
2017-12-14,4.970000,5.140000,4.960000,5.040000,5.040000,9400
2017-12-15,4.880000,5.040000,4.880000,5.000000,5.000000,12100
2017-12-18,4.940000,5.090000,4.920000,5.000000,5.000000,12200
2017-12-19,5.040000,5.390000,4.970000,5.060000,5.060000,27800
2017-12-20,5.150000,5.240000,4.970000,5.180000,5.180000,10700
2017-12-21,5.190000,5.210000,4.950000,4.960000,4.960000,45100
2017-12-22,4.970000,5.110000,4.970000,5.110000,5.110000,4800
2017-12-26,5.080000,5.600000,4.920000,4.920000,4.920000,145400
2017-12-27,5.000000,5.400000,4.910000,4.980000,4.980000,57500
2017-12-28,5.010000,5.120000,4.970000,5.020000,5.020000,25700
2017-12-29,4.970000,5.100000,4.920000,5.010000,5.010000,28200
2018-01-02,5.030000,5.100000,5.020000,5.020000,5.020000,12700
2018-01-03,5.020000,5.220000,4.920000,4.960000,4.960000,24900
2018-01-04,4.960000,5.020000,4.920000,5.020000,5.020000,22000
2018-01-05,5.050000,5.100000,5.010000,5.030000,5.030000,4600
2018-01-08,5.080000,5.220000,5.030000,5.120000,5.120000,31100
2018-01-09,5.110000,5.160000,5.090000,5.110000,5.110000,32300
2018-01-10,5.100000,5.170000,5.060000,5.060000,5.060000,12300
2018-01-11,5.090000,5.090000,5.010000,5.040000,5.040000,18200
2018-01-12,5.010000,5.100000,4.800000,4.890000,4.890000,39300
